assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL904269,CHEMBL225419,Cc1ccc(C(=O)NO)cc1Nc1nc(N[C@H]2CCNC2)nc(N(C)CC(C)(C)C)n1,7.8,Cc1ccc(C(O)=NO)cc1N=c1[nH]c(N(C)CC(C)(C)C)nc(=N[C@H]2CCNC2)[nH]1
CHEMBL904269,CHEMBL221358,COCCNC(=O)c1ccc(C)c(Nc2nc(N[C@H]3CCNC3)nc(N(C)CC(C)(C)C)n2)c1,6.58,COCCNC(=O)c1ccc(C)c(N=c2[nH]c(N(C)CC(C)(C)C)nc(=N[C@H]3CCNC3)[nH]2)c1
CHEMBL904269,CHEMBL221771,Cc1ccc(C(N)=O)cc1Nc1nc(N[C@H]2CCNC2)nc(N(C)CC(C)(C)C)n1,7.62,Cc1ccc(C(N)=O)cc1N=c1[nH]c(N(C)CC(C)(C)C)nc(=N[C@H]2CCNC2)[nH]1
CHEMBL904269,CHEMBL222050,Cc1ccc(C(=O)NC2CCCC2)cc1Nc1nc(N[C@H]2CCNC2)nc(N(C)CC(C)(C)C)n1,7.0,Cc1ccc(C(=O)NC2CCCC2)cc1N=c1[nH]c(N(C)CC(C)(C)C)nc(=N[C@H]2CCNC2)[nH]1
CHEMBL904269,CHEMBL222098,CONC(=O)c1ccc(C)c(Nc2nc(N(C)CC(C)(C)C)nc(N3CCN(C)CC3)n2)c1,7.24,CONC(=O)c1ccc(C)c(N=c2nc(N(C)CC(C)(C)C)[nH]c(N3CCN(C)CC3)n2)c1
CHEMBL904269,CHEMBL224957,Cc1ccc(C(N)=O)cc1Nc1nc(NCCc2ccc(F)cc2)nc(N[C@H]2CCNC2)n1,6.64,Cc1ccc(C(N)=O)cc1N=c1[nH]c(=NCCc2ccc(F)cc2)[nH]c(=N[C@H]2CCNC2)[nH]1
CHEMBL904269,CHEMBL441557,Cc1ccc(C(N)=O)cc1Nc1nc(N[C@H]2CCNC2)nc(N(C)CC(C)c2ccccc2)n1,7.08,Cc1ccc(C(N)=O)cc1N=c1[nH]c(N(C)CC(C)c2ccccc2)nc(=N[C@H]2CCNC2)[nH]1
CHEMBL904269,CHEMBL426902,Cc1ccc(C(N)=O)cc1Nc1nc(N[C@H]2CCNC2)nc(N(C)CC(C)C)n1,7.55,Cc1ccc(C(N)=O)cc1N=c1[nH]c(N(C)CC(C)C)nc(=N[C@H]2CCNC2)[nH]1
CHEMBL904269,CHEMBL224956,Cc1ccc(C(N)=O)cc1Nc1nc(NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)nc(N[C@H]2CCNC2)n1,7.28,Cc1ccc(C(N)=O)cc1N=c1[nH]c(=NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)[nH]c(=N[C@H]2CCNC2)[nH]1
CHEMBL904269,CHEMBL225089,CONC(=O)c1ccc(C)c(Nc2nc(N(C)CC(C)(C)C)nc(N3CCCNCC3)n2)c1,7.28,CONC(=O)c1ccc(C)c(N=c2nc(N(C)CC(C)(C)C)[nH]c(N3CCCNCC3)n2)c1
CHEMBL904269,CHEMBL375011,Cc1ccc(C(N)=O)cc1Nc1nc(NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)nc(N2CCCN(C)CC2)n1,5.85,Cc1ccc(C(N)=O)cc1N=c1[nH]c(N2CCCN(C)CC2)nc(=NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)[nH]1
CHEMBL904269,CHEMBL222267,CCNC(=O)c1ccc(C)c(Nc2nc(N[C@H]3CCNC3)nc(N(C)CC(C)(C)C)n2)c1,7.51,CCNC(=O)c1ccc(C)c(N=c2[nH]c(N(C)CC(C)(C)C)nc(=N[C@H]3CCNC3)[nH]2)c1
CHEMBL904269,CHEMBL376506,CONC(=O)c1ccc(C)c(Nc2nc(N(C)CC(C)(C)C)nc(N3CCNCC3)n2)c1,7.75,CONC(=O)c1ccc(C)c(N=c2nc(N(C)CC(C)(C)C)[nH]c(N3CCNCC3)n2)c1
CHEMBL904269,CHEMBL222785,Cc1ccc(C(N)=O)cc1Nc1nc(N)nc(NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)n1,5.23,Cc1ccc(C(N)=O)cc1N=c1[nH]c(=N)[nH]c(=NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)[nH]1
CHEMBL904269,CHEMBL222304,Cc1ccc(C(N)=O)cc1Nc1nc(NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)nc(N2CCCNCC2)n1,5.87,Cc1ccc(C(N)=O)cc1N=c1[nH]c(N2CCCNCC2)nc(=NC[C@@H]2CC[C@H]3C[C@@H]2C3(C)C)[nH]1
